district_id,division_id,participated,participated_men,participated_women,total_registered_voters,total_registered_voters_men,total_registered_voters_women
01,00.01.01,1511,619,892,2511,1037,1474
01,00.01.02,930,355,575,1425,584,841
01,00.01.03,719,305,414,1159,506,653
01,00.01.04,925,382,543,1537,653,884
01,00.01.05,1080,489,591,1513,655,858
01,00.01.06,872,359,513,1407,600,807
01,00.01.07,1020,416,604,1576,665,911
01,00.01.08,959,367,592,1499,605,894
01,00.01.09,920,374,546,1482,623,859
01,00.01.10,1025,401,624,1475,606,869
01,00.01.11,1544,671,873,2528,1080,1448
01,00.01.12,778,312,466,1238,493,745
01,00.01.13,781,319,462,1163,485,678
01,00.01.14,914,382,532,1388,600,788
01,00.01.15,924,564,360,1426,592,834
01,00.01.16,1674,744,930,2461,1065,1396
01,00.01.17,1472,628,844,2301,987,1314
01,00.01.18,912,372,540,1441,617,824
01,00.01.19,916,373,543,1375,573,802
01,00.01.20,1041,435,606,1434,602,832
01,00.01.21,933,378,555,1345,555,790
01,00.01.22,1084,413,671,1529,621,908
01,00.01.23,1471,630,841,2231,952,1279
01,00.01.24,1474,647,827,2294,1025,1269
01,00.01.25,1190,482,708,1679,707,972
01,00.01.26,977,418,559,1353,571,782
01,00.01.27,935,387,548,1325,553,772
01,00.01.28,992,383,609,1473,598,875
01,00.01.29,1258,549,709,1838,787,1051
01,00.01.30,852,440,412,1207,601,606
01,00.01.31,1035,501,534,1437,672,765
01,00.01.32,1249,606,643,1792,840,952
01,00.01.33,865,392,473,1347,587,760
01,00.01.34,217,121,96,351,187,164
02,00.02.01,1101,476,625,1485,638,847
02,00.02.02,1036,450,586,1438,625,813
02,00.02.03,1140,470,670,1614,671,943
02,00.02.04,1138,478,660,1574,661,913
02,00.02.05,1259,530,729,1682,715,967
02,00.02.06,989,393,596,1345,543,802
02,00.02.07,820,358,462,1124,501,623
02,00.02.08,1120,454,666,1675,714,961
02,00.02.09,927,386,541,1346,589,757
02,00.02.10,996,387,609,1367,551,816
02,00.02.11,973,408,565,1325,557,768
02,00.02.12,1032,436,596,1390,588,802
02,00.02.13,1124,494,630,1577,680,897
02,00.02.14,1206,499,707,1681,703,978
02,00.02.15,1251,537,714,1801,788,1013
02,00.02.16,904,364,540,1235,512,723
02,00.02.17,919,360,559,1251,512,739
02,00.02.18,1111,457,654,1578,664,914
02,00.02.19,1014,413,601,1725,734,991
02,00.02.20,1216,498,718,1634,687,947
02,00.02.21,1124,488,636,1557,674,883
02,00.02.22,1538,637,901,2390,1024,1366
02,00.02.23,890,349,541,1210,499,711
02,00.02.24,1176,511,665,1728,742,986
02,00.02.25,1207,505,702,1688,716,972
02,00.02.26,1103,463,640,1748,758,990
02,00.02.27,1369,555,814,2376,1009,1367
02,00.02.28,1043,489,554,1536,694,842
