district_id,district_alt_id,division_id,division_type,address_1,address_2,address_3,address_4,is_abroad,cancelled,lat,lng,division_is_covid,election_type,total_registered_voters,total_registered_voters_men,total_registered_voters_women,election_numeric_id,total_votes,participated_ocr_traditional,participated_ocr_confidence_traditional,invalid_ballots_ocr_traditional,invalid_ballots_ocr_confidence_traditional,participated_cec,participated_men_cec,participated_women_cec,invalid_ballots_ocr_confidence_electronic,invalid_ballots_ocr_electronic,participated_ocr_confidence_electronic,participated_ocr_electronic,c_participated,c_invalid_ballots,protocols_traditional,protocols_electronic,CAND3,CAND4,CAND5,CAND6,CAND8,CAND9,CAND10,CAND12,CAND16,CAND17,CAND20,CAND21,CAND23,CAND25,CAND26,CAND27,CAND36,CAND41
01,Tbilisi - 01 მთაწმინდა,00.01.01,electronic,მე-4 ბაგა-ბაღი,მე-4 ბაგა-ბაღი,შ.დადიანის ქ. 15,,False,False,41.690315726486396, 44.80197787284851,,proportional,2511,1037,1474,57,1527,1535.0,0.8333333333333333,8.0,1.0,1511,619,892,1.0,8.0,1.0,1535.0,1511,8.0,https://results.cec.gov.ge/#/ka-ge/election_57/tr/prot/6d1f8e5f-a5f7-4ce5-a286-a903a1e70acf,https://results.cec.gov.ge/#/ka-ge/election_57/el/prot/6d1f8e5f-a5f7-4ce5-a286-a903a1e70acf,4,250,108,2,39,199,9,2,8,3,3,1,2,162,2,2,102,629
01,Tbilisi - 01 მთაწმინდა,00.01.02,electronic,50-ე საჯარო სკოლა,50-ე საჯარო სკოლა,გ.ქიქოძის ქ. 4,,False,False,41.69172025297866, 44.79860446365013,,proportional,1425,584,841,57,923,929.0,1.0,6.0,1.0,930,355,575,1.0,6.0,1.0,929.0,930,6.0,https://results.cec.gov.ge/#/ka-ge/election_57/tr/prot/0ac017c6-01f4-4967-bf31-64c6ee4d6260,https://results.cec.gov.ge/#/ka-ge/election_57/el/prot/0ac017c6-01f4-4967-bf31-64c6ee4d6260,3,163,83,1,28,132,13,1,8,2,3,0,0,90,0,1,44,351
01,Tbilisi - 01 მთაწმინდა,00.01.03,electronic,144-ე ბაგა-ბაღი,144-ე ბაგა-ბაღი,გ.ნიშნიანიძის ქ. 4ა,,False,False,41.6887963, 44.794791,,proportional,1159,506,653,57,710,719.0,0.8333333333333333,0.0,0.8333333333333333,719,305,414,1.0,9.0,1.0,719.0,719,9.0,https://results.cec.gov.ge/#/ka-ge/election_57/tr/prot/28f1a11e-55e9-4e74-9fbd-a17c5ddded85,https://results.cec.gov.ge/#/ka-ge/election_57/el/prot/28f1a11e-55e9-4e74-9fbd-a17c5ddded85,3,92,56,3,25,90,6,1,7,0,0,1,3,69,0,1,38,315
01,Tbilisi - 01 მთაწმინდა,00.01.04,electronic,42-ე საჯარო სკოლა,42-ე საჯარო სკოლა,პ.ჩაიკოვსკის ქ. 9,,False,False,41.6934649, 44.7958217,,proportional,1537,653,884,57,931,946.0,1.0,15.0,1.0,925,382,543,1.0,16.0,1.0,946.0,925,16.0,https://results.cec.gov.ge/#/ka-ge/election_57/tr/prot/bb30f9da-537c-4181-a4fd-815823b09520,https://results.cec.gov.ge/#/ka-ge/election_57/el/prot/bb30f9da-537c-4181-a4fd-815823b09520,3,155,61,6,30,135,7,0,9,1,2,2,2,106,0,3,40,369
01,Tbilisi - 01 მთაწმინდა,00.01.05,electronic,47-ე  საჯარო სკოლა,47-ე  საჯარო სკოლა,შ. ჩიტაძის ქ. 9,,False,False,41.6953203520761, 44.794277037020734,,proportional,1513,655,858,57,1085,1093.0,0.8333333333333333,8.0,1.0,1080,489,591,1.0,9.0,1.0,1093.0,1080,9.0,https://results.cec.gov.ge/#/ka-ge/election_57/tr/prot/444c8cea-e016-4fbc-8090-ddd472ad369b,https://results.cec.gov.ge/#/ka-ge/election_57/el/prot/444c8cea-e016-4fbc-8090-ddd472ad369b,3,172,68,0,25,170,7,1,3,2,7,0,1,115,0,1,61,449
01,Tbilisi - 01 მთაწმინდა,00.01.06,electronic,150-ე ბაგა-ბაღი,150-ე ბაგა-ბაღი,ვ. ბერიძის ქ. 2,,False,False,41.69383927451896, 44.79605766074792,,proportional,1407,600,807,57,861,872.0,1.0,11.0,0.8333333333333333,872,359,513,1.0,11.0,1.0,871.0,872,11.0,https://results.cec.gov.ge/#/ka-ge/election_57/tr/prot/360d692b-2280-43d1-b6c8-204c58a09fab,https://results.cec.gov.ge/#/ka-ge/election_57/el/prot/360d692b-2280-43d1-b6c8-204c58a09fab,1,161,66,2,21,119,9,1,7,2,1,0,0,99,2,6,42,322
01,Tbilisi - 01 მთაწმინდა,00.01.07,electronic,თბილისის კლასიკური გიმნაზია,თბილისის კლასიკური გიმნაზია,შ.რუსთაველის გამზ. 10,,False,False,41.69763360576285, 44.79779757420503,,proportional,1576,665,911,57,1011,1020.0,0.8333333333333333,9.0,1.0,1020,416,604,1.0,9.0,1.0,1020.0,1020,9.0,https://results.cec.gov.ge/#/ka-ge/election_57/tr/prot/a923b974-e846-40e6-9fae-03b936ccb533,https://results.cec.gov.ge/#/ka-ge/election_57/el/prot/a923b974-e846-40e6-9fae-03b936ccb533,1,182,73,0,35,159,10,0,2,1,4,3,2,94,0,2,67,376
01,Tbilisi - 01 მთაწმინდა,00.01.08,electronic,55-ე ბაგა-ბაღი,55-ე ბაგა-ბაღი,ბესიკის ქ. 25,,False,False,41.6967649725991, 44.794051593254075,,proportional,1499,605,894,57,950,959.0,1.0,10.0,0.8333333333333333,959,367,592,1.0,10.0,1.0,960.0,959,10.0,https://results.cec.gov.ge/#/ka-ge/election_57/tr/prot/dd624b05-51eb-4cc8-8fb7-874ba2dc8d18,https://results.cec.gov.ge/#/ka-ge/election_57/el/prot/dd624b05-51eb-4cc8-8fb7-874ba2dc8d18,0,159,64,4,37,119,14,0,10,0,1,2,0,100,0,2,64,374
01,Tbilisi - 01 მთაწმინდა,00.01.09,electronic,ზ.ფალიაშვილის სახ. ცენტრალური  სამუსიკო სკოლა,ზ.ფალიაშვილის სახ. ცენტრალური  სამუსიკო სკოლა,ალ.ჭავჭავაძის ქ. 19,,False,False,41.699356250866046, 44.79128878665118,,proportional,1482,623,859,57,931,937.0,0.8333333333333333,,,920,374,546,1.0,6.0,1.0,937.0,920,6.0,https://results.cec.gov.ge/#/ka-ge/election_57/tr/prot/c62cbccf-47bb-49a8-892c-0270c6c07209,https://results.cec.gov.ge/#/ka-ge/election_57/el/prot/c62cbccf-47bb-49a8-892c-0270c6c07209,2,222,64,1,25,109,9,1,7,2,1,3,1,115,0,1,45,323
01,Tbilisi - 01 მთაწმინდა,00.01.10,electronic,თბილისის ვ.სარაჯიშვილის სახ. სახელმწიფო კონსერვატორია,თბილისის ვ.სარაჯიშვილის სახ. სახელმწიფო კონსერვატორია,ალ.გრიბოედოვის ქ. 8/10,,False,False,41.69938555150471, 44.795055501505324,,proportional,1475,606,869,57,1017,1025.0,1.0,8.0,1.0,1025,401,624,1.0,8.0,1.0,1025.0,1025,8.0,https://results.cec.gov.ge/#/ka-ge/election_57/tr/prot/13b54bb7-4bd4-4819-b9d6-1bf1b426875f,https://results.cec.gov.ge/#/ka-ge/election_57/el/prot/13b54bb7-4bd4-4819-b9d6-1bf1b426875f,1,164,70,8,32,169,9,0,4,0,1,1,1,117,0,0,60,380
01,Tbilisi - 01 მთაწმინდა,00.01.11,electronic,104-ე  საჯარო სკოლა,104-ე  საჯარო სკოლა,ათონელის ქ. 5,,False,False,41.69772160000001, 44.80532735337297,,proportional,2528,1080,1448,57,1534,1544.0,1.0,10.0,0.8333333333333333,1544,671,873,1.0,10.0,1.0,1544.0,1544,10.0,https://results.cec.gov.ge/#/ka-ge/election_57/tr/prot/392852e3-b689-439d-a9bb-525ecbfa659b,https://results.cec.gov.ge/#/ka-ge/election_57/el/prot/392852e3-b689-439d-a9bb-525ecbfa659b,3,209,98,2,57,208,17,0,5,2,5,3,5,168,0,4,91,657
01,Tbilisi - 01 მთაწმინდა,00.01.12,electronic,მე-20 საჯარო სკოლა,მე-20 საჯარო სკოლა,ლ.ალექსი-მესხიშვილის ქ. 5,,False,False,41.700797973854975, 44.799517313491805,,proportional,1238,493,745,57,783,793.0,0.8333333333333333,10.0,1.0,778,312,466,1.0,10.0,1.0,793.0,778,10.0,https://results.cec.gov.ge/#/ka-ge/election_57/tr/prot/95594762-166e-40dc-aeae-958054ffc7b9,https://results.cec.gov.ge/#/ka-ge/election_57/el/prot/95594762-166e-40dc-aeae-958054ffc7b9,0,135,43,1,17,105,7,0,4,0,3,0,0,79,0,1,25,363
01,Tbilisi - 01 მთაწმინდა,00.01.13,electronic,მე-20  საჯარო სკოლა,მე-20  საჯარო სკოლა,მარი ბროსეს ქ. 8,,False,False,41.702219470228016, 44.79916744491349,,proportional,1163,485,678,57,775,,,7.0,1.0,781,319,462,1.0,7.0,1.0,782.0,781,7.0,https://results.cec.gov.ge/#/ka-ge/election_57/tr/prot/2adcd2ac-d9c8-4dba-9c9e-76b71447699b,https://results.cec.gov.ge/#/ka-ge/election_57/el/prot/2adcd2ac-d9c8-4dba-9c9e-76b71447699b,1,131,79,3,16,130,7,2,3,0,4,0,0,77,0,2,35,285
